id,tweet_id,content,concerns
559,1349576125454852097t,@4mishee @ScottMorrisonMP can keep his vaccine 💉 I’ll take covid with its “ non existent “ symptoms over some big pharma no liability or indemnity lab 🧪 cooked vaccine thank you.,pharma 
560,1328301286790455297t,"@wendy_hume @FatEmperor The only thing you need to know is that pharma companies, including Pfizer, are lobbying governments around the world for Liability Indemnity. This means pharma companies are refusing to stand behind the safety of their vaccines simply because they are unwilling to take... /1",pharma 
561,1331495290503712768t,"@D16584667 @tayloramiles If experts can't even figure out how long the immunity lasts (of whatever kind) after recovering from COVID, then the absolute trust in a vaccine is rather absurd.",ineffective 
562,1330106489965572096t,"Wow, the World Economic Forum supports the Pfizer vaccine, now you KNOW there's something wrong with it!",none
563,1330932467952447493t,"Idk about y’all but I’m not getting no Covid “vaccine”, y’all can go first 😷",pharma 
564,1337811217935724547t,"@Sputnik22 @phil_hellmuth Sir, you’re wrong. The vaccine protects you from the worst effects of COVID but you can still get it and infect other people. This vaccine will save lives but it won’t stop the pandemic.",ineffective 
565,1368095230570897411t,"#VAERS 58 y.o.♀️#Pfizervaccine #VaccineDeaths #Necrolysis ""Extensive subepidermal bullous formation with ... mixed inflammatory infiltrate ... in the larger of the two skin fragments ... the smaller ... shows diffuse epidermal necrosis"" https://t.co/Pi4ibC2PNZ",side-effect 
566,1333464575103160323t,"@DiamondSkyDiva Don’t blame you not having it, regular drugs are researched and trialled for years before going on market, these are being rushed out in months, anyone taking the vaccine is playing russian roulette with their bodies",rushed 
567,1311705011198529539t,#FauciTheFraud not concerned about safety of #Moderna #COVID19 #vaccine Why not #Fauci Moderna using new technology for this vaccine. Sure I will be first in line to get it ....NOT How many people have been in the trials of this #frankenvaccine https://t.co/hOnYI8UbU2,none
568,1353892589309730816t,@KateCushing2 Is it only starting now? 7 weeks after ti first jab? I’ve seen 2 doctors last week reporting they have symptomatic Covid 4/5 weeks after their one Pfizer jab,side-effect 
569,1328320841294213120t,@patton6966 It's time to Expose the Truth about Covid 19 and to Rage Against The Mandatory Vaccines!  https://t.co/Qu6Wzstz3O,mandatory 
570,1300424769834082304t,"@my3monkees No, you're not the only one. I agree 100%. Another thought nugget: I just heard an interview with an infectious disease specialist who said that COVID will never be eradicated. Think about it. Measles has a successful vaccine (since 1963) and yet it's still around.",ineffective 
571,1351606609911427073t,"WHAT IS THE ACCEPTABLE RISK OF DEATH FOLLOWING THE MEDICAL PRODUCT? Two people in India die after Covid vaccination, now Bharat Biotech says the vaccine is too risky for some. https://t.co/jFcFGjTa50",side-effect 
572,1376853810602201092t,"It doesn't matter how vaccinated we are. The government knows they can get away with being authoritarian thundercunts. It's not the fault of those that won't be vaccinated. It's yours for your compliance and cowardice.  Lick that boot. Thank the government and ""opposition"". 🙄",political 
573,1326499830609350656t,"#PMQs @BorisJohnson lies & creates unnecessary fear, unopposed. ‘Cases’ are not infections Deaths ‘with Covid’ are not deaths ‘from Covid’ Destroying our health/economy/inalienable rights so the globalists can Build Back Better No fake tests. No experimental vaccines. #BorisOut",political 
574,1257067609708789763t,@bluebowerbird Well I certainately dont have to look far to have my suspicions about Bill Gates. That Russian just solidified it as well. Gates is being put on a forefront of the vaccine push.,none
575,1332318632236388352t,@realDonaldTrump I don’t want Moderna vaccines. Only therapeutics. Moderna in bed with Bill Gates. What are you doing my beloved Trump?,political 
576,1337715616577425409t,@colgrove11 if you mean FISA - great...... not the sterilizing pfizer vaxx,side-effect 
577,1339510463432962048t,"2 Alaska health workers got emergency treatment after receiving Pfizer’s vaccine. One of the workers, who did not have a history of allergies, remained in the hospital on Wednesday night. Reactions to the vaccine were also reported last week in Britain https://t.co/uxLYPnnc6I",side-effect 
578,1262591956024274945t,"@DanielPantss There are zero Covid family vaccines, not 'different' vaccines. It may not help all, but it's false to say it helped noone. 'Proven' is a nonsense word, Estrogen was 'proven' to help female heart attack victims in trials until other trials 'proved' the opposite & it was pulled.",side-effect 
579,1428125030819450886t,(VIDEO) Ellie Peacock: 18-Year-Old Australian Nurse Hospitalized With 3 Blood Clots After Receiving #AstraZeneca COVID-19 Vaccine https://t.co/snwLCu0gqw,side-effect 
580,1304049488433037312t,Drinking the Kool-Aid https://t.co/fwid23iIRy Experimental Covid-19 Vaccines Given to Hundreds of Thousands of Chinese @caixin https://t.co/1v0x09OiBE Year of the Virus https://t.co/v6ec8tSxiL,rushed 
581,1351101092076072960t,"@dem_cath The Pfizer vaccs authorized with 21 days gap. 12 weeks not just unauthorized but illegal. No scientific evidence that is useful with the bigger gap. So it`s not a ""vaccine rollout"" it`s a gigantic human experiment with the risk of developing creating a resistant covid mutation.",none
582,1429713989190275075t,"#Breaking Sue Grey: ""Medsafe declined full approval of the Pfizer mRNA vaccine due to insufficient safety, ef... https://t.co/fNyGIqCLCE",rushed 
583,1355959711225491463t,#Covid19 #CovidHoax #Plandemic #VaccineInjury Massachusetts congressman tests positive for Covid-19 after getting 2 shots of Pfizer vaccine — RT USA News https://t.co/KcF9kMK9z9,side-effect 
584,1355254808664547336t,"@Telegraph @mattlynnwriter If the jab causes harmful side effects, will the government along with their propaganda machine - aka The Telegraph, compensate people for the irreversible damage they have inflicted on them due to mandatory vaccination?",side-effect 
585,1333138725770063880t,"@BrianLa36802543 @ShawnVarey @SPLICK13 @CNN @smerconish It is not a weakened version of a deadly disease. It is a completely new type of vaccine that works with one's RNA. It is also rushed-through, and no one knows the long-term repercussions of it.",rushed side-effect 
586,1381976564804489219t,US regulators have called for a pause in the rollout of Johnson & Johnson’s single-dose vaccine after six women who received it developed blood clots. Seven million people have received the vaccine in the US so far. https://t.co/9nIiis07zz,side-effect 
587,1367471645460414465t,"Wonder if I'll be banned for sharing this, as I was few nights ago for a similar article This is a new Holocaust.” Death Rates Skyrocket in Israel Following Pfizer Experimental COVID ‘Vaccines’ https://t.co/vbmiUlFgSk",side-effect 
588,1254318312541941760t,"@R1BM1 @MarkDice @CedarsSinai Where in the world do you live again? Did you know The Who just said vaccine’s don’t work? They are censoring free speech unless you are paid up to the right people. Hence the, aw forget it, you know you’re being Russia right now interfering with America like 2016 elections https://t.co/rYLiFc3WAe",political 
589,1374484462164082699t,"The reason insurance companies won't pay out if you experience the inevitable adverse reactions, including death (which are in the THOUSANDS! look up cdc statistics conveniently not reported by mainstream media!) is because it is an ""Experimental Vaccine""",side-effect 
590,1335825455140593669t,@AlwinVerbeek I agree 100%. There r currently 2yr clinical trials being conducted that test medium/longer term side effects & also disease enhancement This is one such trial-Astra Zeneca: https://t.co/B1kRh1VWWN This doc is an eye opener regarding disease enhancement: https://t.co/vf9h0HBz6u,side-effect 
591,1336473498328436736t,SO ASTRA ZENECA COVID VACCINE has not been proven safe 4 PREGNAT WOMAN thier UN- BORN BABY also CHILDREN ! THE DEAL is KEEP TAKEING ANTI -OXIDENTS!,side-effect 
592,1336669819249315841t,@Conkatron @yogagirl2021 @rob_miller12345 Even the Yanks stopped buying this one! Warning after two NHS workers have allergic reaction to Pfizer/BioNTech Covid vaccine Warning after two NHS workers have allergic reaction to Pfizer/BioNTech Covid vaccine https://t.co/qNSbZ4MefM,side-effect 
593,1327006859513921536t,"@RipRj175 Fuck Big Pharma and their vaccine. We have given them more money & power than ever before in 2020 ""Oh save us Pfizer and GSK..."" Pfft......never could be me",pharma 
594,1376951608421023749t,@stonehenge2500 @GillianMcKeith Its a year on. Unknowns remain around the efficacy of these new vaccines which usually take years in development as would any synthetic drug. Smart supplementation may help boost one's immunity and particularly those whose immune systems are impaired (prior to vaccination).,ineffective 
595,1362523677535973383t,"@keplerniko @HABTerminal @hayneswg @NaomiOhReally As it stands, the covid vaccine is not for profit. AZ make money from their proprietary drugs. So you wither want them, or you don't. The vaccine is a red herring.",pharma 
596,1336231579941826561t,@lamornajan @AllysonPollock Gung ho 'Britain First' Boris Johnson hoping #Covid vaccine is the silver bullet that will ‘get Covid done’ & mend his reputation after shambolic handling of Covid. https://t.co/snNkc3uBqf,pharma 
597,1335073859591090176t,"""Curious"" commercial links between Bill Gates, Pfizer and the UK health regulator that just fast-tracked approval in record time for, erm, Pfizer's new ""vaccine"" #PCRTestPandemic #CronyVirus #Pfizer @MHRAgovuk https://t.co/PdcI52kXg1",pharma conspiracy 
598,1300872132100980736t,It’s the Russian teachers that said they don’t want to take the vaccine. They believe it’s not safe because it was fast tracked.,rushed side-effect 
599,1344644995505156097t,"@MaxduPreez 1. The way I understand it is not that simple. Pfizer vaccine not the best for us because must remain frozen in transport and we are far away. Also, it now shows allergic reaction 10x more than other vaccines (acc to Barry Schoub).",side-effect 
600,1280489305534758914t,@nytimes Yeah I don't think so.... @Novavax following the gates Foundation..,pharma 
601,1374311465725923328t,"@CTVNews This not about keeping Canadians safe, it is about how long you make them wait for their second shot so that they do not benefit from the full vaccine. Keep count on what happens past the allowable three weeks. Stop this insanity! Who is on the ethics committee?",side-effect 
602,1305509340841938944t,"And if Pfizer's vaccine doesn't work, their Phase 1 'diversity' program will become a diverse nightmare for the participants? Don't want to be one.",rushed 
603,1354393740882944002t,@BradBeauregardJ There is no evidence that the vaccine provides protection for anyone else but the person who gets it. Stay home.,ineffective 
604,1289281754642239490t,@42believer @timothywjohnson I have a friend who gave a single MMR to her son who immediately displayed symptoms of autism afterwards. He was diagnosed soon after. Biggest mistake of her life. They used chelation therapy and he’s totally better. Chelation removes heavy metals. Vaccination adds them.,side-effect 
605,1249310924198076416t,"@MichaelCoudrey ""Notable about the Fauci-Gates Moderna coronavirus vaccine, mRNA-1273, is that it has been rolled out in a matter of weeks, not years ..human guinea pigs, not mice"" 18.03.2020 (F. William Engdahl) Coronavirus and the Gates Foundation | New Eastern Outlook https://t.co/alHZ0Seazv",rushed 
606,1319168705817956353t,@dhruv_rathee Now I understand what Modi meant when he said he will distribute vaccine similar to elections roll out everywhere. So u vote for him and get a vaccine. Effing evil.,political 
607,1340234874494574593t,"Since Pfizer is a member of the World Economic Forum, who openly believes overpopulation is a threat to the globe, is it safe to say that expecting them to produce a vaccine that doesn't sterilize humans... is a conflict of interest?",conspiracy side-effect 
608,1287930676898156546t,@DiamondandSilk @lamphieryeg Yup! Especially since Moderna’s vaccine will be ready at the same time as the flu shot!,none
609,1385296911863881729t,"@XaraTheGreatCat @mariawirth1 @RituRathaur @MNageswarRaoIPS This is from Today's news. 18 year went for 3 brain Surgery after taking Johnson and Johnson vaccine. So now tell me, all those who are reporting are Anti-Vaxer? https://t.co/YBcEyERetl",side-effect 
610,1403805065723457536t,I guess that is more proof of how useless the Chinese vaccine is. See : Chile shuts capital Santiago once more as vaccines fail to quell rampant cases https://t.co/ERQzp1QGYy https://t.co/wCxDPYza50,ineffective 
611,1308805743785566208t,"Do you really want/trust a #CovidVaccine from #JohnsonAndJohnson? Forget Trump: This🔽🔽🔽 #Johnson & Johnson Faces Around 50,000 Lawsuits Related To Talc, Hip-Plant, Artificial Hips, And Blood Thinner Xarelto."" https://t.co/t29FTBWtgO",pharma political 
612,1318754750595174405t,"Scientists who had worked on Adenovirus based HIV vaccines (it actually increased risk in people who had previous exposure to Adenovirus), has raised concerns on the safety on Adenovirus based #CovidVaccine eg ChAdOx1 (Oxford) @maryashakil https://t.co/Mw5bmD1jze",side-effect 
613,1320412764511342593t,So who exactly are these Santa Claus performers supposed to promote a COVID-19 vaccine to? Toddlers and children who have no comprehension whatsoever of what a COVID-19 vaccine really is?,none
614,1337925387884535808t,‘Refuse this vaccination’: Acclaimed French doctor unloads on COVID vaccine | News | LifeSite https://t.co/23j9Yv81vt,none
615,1373486461266329601t,"You know who wld really like for people who've already had the virus & who by all available evidence are now protected against Covid to get the vaccine anyway? If half the public already had the virus, recommending/forcing them to get vaccinated anyway is huge $ for Pfizer etc.",mandatory 
616,1341519793896230913t,"@jimmy31922581 @MaryamHenein Everyone has to keep retweeting this message - the public are being coerced into being part of an experiment that could kill, disable or make them infertile. The vax does not prevent infection & no guarantees of safety are given by the manufacturer. All on Pfizer's own web site.",side-effect 
617,1376899980431126532t,@nedeye @PoliticsForAlI @derspiegel south Africa also have concerns about the Oxford/Astra vaccine along with Australia and Canada. I've had it myself but I do wonder why this one inparticular has so much bad press around the world.,side-effect 
618,1355912154508103680t,"Amen! If the plandemic were a pandemic, no one would need to tell you. I’m amazed how many people are willing to get an EXPERIMENTAL vaccine for a virus that is survivable for people without serious underlying health conditions.",unnecessary side-effect 
619,1418605376468144131t,"@pwsimerimiaw @FullFact I just came across this! why I was concerned over Patrick Vallance 60% vaccinated faux pas. I have my own suspicions that since South Africa rejected all Covishield vaccines, because it was little better than a placebo & sold it to another African country without the SA variant",ineffective 
620,1338727847343472640t,"@benmezrich @AlexBerenson @pfizer You very confidently assert that the vaccine ""will only enhance"" my immune system, but what data do you have that justifies the ""only""?",none
621,1328091839841366016t,What if the mortality rate of CV19 ends up diminishing demand for the Pfizer vaccine? What if Pfizer needs demand to be high in order to create profit? Do you think they are positioned to pay for some fear-mongering from their media and government allies? @chrisvanderveen,pharma political 
622,1412444569782960130t,"Public health officials in Israel (some of the best doctors around trained in premier USA hospitals) now report that even after 2 jabs of the most effective vaccine (Pfizer) its only 64% effective at halting asymptotic and symptomatic transmission of Delta , UK Gov strategy mad!!",ineffective 
623,1288136780252880896t,@CleChrissy1 @BillGates I am fine with that. What they are not gonna push is mandating it for kids to go to school. This is being pushed through so fast. Kids should be the last demographic to use this vaccine on. I already am hearing it being thrown out there from parents in school meetings. 🤬,mandatory 
624,1346782720907591681t,@ScottMorrisonMP @GregHuntMP @AlboMP as Prof Raina MacIntyre has pointed out the @AstraZeneca vaccine will NOT allow us to achieve herd immunity. Why are YOU pursuing the use of this vaccine when there are two other vaccines -currently available - that are 30% more effective???,ineffective 
625,1231667933413167104t,Leaked documents show that GSK’s 6-in-1 “Infanrix Hexa” vaccine KILLED 36 infants https://t.co/9al9VQaxrC,side-effect 
626,1318950296383533057t,"@Francesthefoot @itsjillgardner @Pfizer_UK Referring to our bodies as organic vessels. Sorry but you can not defend the criminality pushed on the masses since 1986, when the pharma cabel were given full legal immunity. Look at the maths, look at the sudden growth in all conditions old and new, starting with cancer",pharma conspiracy 
627,1377065406691614721t,@BiboyScum Sinovac is using an inactivated SARS-CoV-2 vaccine - not good news my friend. I would hate to think of the implications if the spike protein itself was the fundamental factor involved in these adverse events.,side-effect 
628,1376964721409196032t,"@akiriluk2 @ChuckCallesto I’ll do neither. Get over it. I’m a free American citizen & I’ll go where I want, whenever I want mask free & vaccine free. I love this country the good ole USA 🇺🇸 where I’m allowed to make my own decisions about how I live my life just like you.",mandatory 
629,1411020971000184833t,"13 year old Michigan boy dies 3 days after getting Pfizer COVID-19 vaccine, CDC is investigating ""He complained of common post-vaccine symptoms, she said, in the two days between his immunization and death, which included fatigue and fever."" https://t.co/ULzRZF0QVM https://t.co/bdeWLVNcEa",side-effect 
630,1377241941075722240t,@OmniTempore_ I believe those current protocols are unethical and deny the logic that their precedent relies upon. Can vaccinated people still carry viruses? Yes,none
631,1302328082066440195t,"@RealDeniseWelch There will be no truly effective Covid vaccine either, flu vaccines are hard.",ineffective 
632,1328104180255510535t,If you thought covid shutdowns and restrictions were going to end after the election...you were wrong.  If you thought it was over after there’s a vaccine...you were wrong.  Fascism has taken control of country through the backdoor of “public safety” while the media runs defense.,political 
633,1334874389033181186t,@Kiki1C @SelaineSaxby I have zero trust in this government or the so called opposition party due to the endless lies they have told. I have my doubts about the UK Regulator. They may have been leaned on politically. My suspicions will be confirmed if the AstraZeneca vaccine is also cleared for use.,political 
634,1353260868226736128t,@therealmissjo 'Vaccinating' children (who have a 0.0002% risk from covid exposure & will be overwhelmingly asymptomatic) is more about profits than health. Get the vulnerable & high risk 'vaccinated' (2 doses). The long term effects of lockdowns will be far more devastating than #COVID19 .,unnecessary pharma 
635,1350378987202088960t,@ANI How can he say “Efficacious” when there’s no efficacy data available in the first place? I presume he’s talking about Covaxin only coz that’s the vaccine he got! #LargestVaccineDrive #VaccineForIndia #vaccinationCovid,rushed 
636,1264128729611042816t,"@palkisu @jairbolsonaro Big pharma play at work to promote expensive vaccines. No comprehensive study of patients administered HCQ + zinc at the onset, or the outcomes. If Oxford vaccine succeeds, that will send big pharma actors into a huge depression. They're hoping Oxford Vax fails",pharma 
637,1354842624419631113t,Merck Scraps COVID Vaccines; Says It’s More Effective To Get The Virus And Recover – Summit News ⁦@fordnation⁩ ⁦@celliottability⁩ ⁦@erinotoole⁩ yet you lot will keep pushing this untested vaccine on people! ⁦@randyhillier⁩ https://t.co/GgwaeE3XAH,rushed 
638,1334083141456236544t,"@DaveWallsworth Wouldn't it? Pfizer have form for manipulating data, they are currently being sued in several jurisdictions. Google Zoloft and see how they lied. Unfortunately for anyone who may be damaged or killed by this vaccine they have received indemnity from all governments.",pharma side-effect 
639,1435490122779201536t,@RyanJohnson_007 @News24 Nor do I. The rights of the vaccinated are ignored totally. Time to take Govt to court over this me thinks. They have a CONSTITUTIONAL DUTY to act - the Constitution DEMANDS it of them.,mandatory 
640,1376684316151975938t,"Is it ok to experiment on people who are over 55, and be guinea pigs? Who is more likely to have blood clots, someone over 55 or under 55. The maker of AstraZeneca should be forced to produce an effective vaccine rather than an experimental one. I call em as I see em.",side-effect 
641,1364646626678231044t,"@treystar679 @Nibellion @SpiderManMovie We will see if the vaccine holds up too. The vaccine isn’t a cure, it’s just a booster for your immune system against the virus, seen a lot of people think they can’t get the virus once their vaccinated... there is a chance those people might mutate the virus against the vaccine.",unnecessary 
642,1335916183099420673t,Agreed. Its very important to write to your doctor advising that the Pfizer are unaware of the effects on fertility or the effect the vaccine will have on existing medication. No responsible doctor should administer this vaccine.,side-effect 
643,1327800216628703232t,"@o_rips SPIRO, Lets Share the Truth of the origin of Covid 19 and the pending MANDATORY VACCINES TOGETHER!  https://t.co/Qu6Wzstz3O  https://t.co/L08am74L3P",mandatory 
644,1451168941703843842t,Pfizer has secret government contracts to supply their vaccine - Times. This is why this particular jab is being pushed so hard when there are safer alternatives like Valneva.,none
645,1432980443859652609t,Not much comment from the media that Pfizer has quietly rebranded their vaccine to suggest it gives immunity from covid when it clearly doesn't. https://t.co/qUVwWnhOPm,ineffective 
646,1375204857964007425t,@brad_dickson I know someone here in Lincoln who got vaccinated (works in a hospital) and she had horrible side effects - both shots. :(,side-effect 
647,1290922720188866561t,@MattHancock if my time is up its up dont give a fk had a great life no regrets so Hancock keep your vaccine and your Corona Virus which you brought into this country and still bringing it in in plane loads as we speak ? and your not testing at airports ? more lies,none
648,1375369718727639040t,https://t.co/I5psPJtBTH Pfizer has begun testing its COVID vaccine in children as young as six months! 🕵️😱 🕵️ F*** me! Child abuse x infinity! 🤬 AND The parents? 😮,none
649,1374377054318120967t,@Judgernaut3001 All you have is fear. But I’m not afraid. So get your vaccine and don’t be scared then. Just leave me out of it.,none
650,1334107101447266306t,@Seamus_McNally @jordanjames1476 @MattHancock @pfizer @BioNTech_Group @MHRAgovuk If you’re under 60 the survival rate is actually 99.995%. Or you can take an experimental vaccine which will synthesise your DNA with full blanket immunity for the producers.,rushed 
651,1314403789357547521t,Oh sorry make that 40 years later. You make the call on the vaccine and COVID hysteria that’s happening!,side-effect 
652,1352803162877521920t,"""Vaccine efficacy"". This MRNA potion doesn't stop you catching this common cold virus anyway. Apparently all it does is ""lighten your symptoms"". In which case simple paracetamol does much the same job for many. New strains of Influenza regularly make the flu ""vaccine"" useless.",ineffective 
653,1337050263341985797t,“the FDA confirmed that among the deceased was a participant who was obese and suffering from arteriosclerosis and died three days after taking the first dose of the vaccine.” Why did Pfizer allow someone with health issues into its Covid vax trial?,side-effect 
654,1268562446740045824t,@CEPIvaccines @AstraZeneca Is this the same vaccine that has already been shown to not kill the virus? Good job..,side-effect 
655,1347285389627817984t,"@HammerMancunian I wouldn't take an mRNA vaccine but the Oxford one is based on more traditional methods. In any case, I had the virus and recovered so I don't require a vaccine in any case",unnecessary 
656,1338827316517089281t,"@oluchiomai Govt, Media, etc, treat people like complete fools. There seems to be a mass madness. No one knows the side affects and dangers of a vaccine against a new virus, only a year old. It's deception trying to get people to believe it. #Pfizervaccine #CovidVaccine #COVID19",side-effect 
657,1344306031954944003t,@MENnewsdesk The precious Oxford vaccine thats they will push didnt even work in trials.. https://t.co/UG7qcvm8TW,rushed 
658,1336326457111375873t,@levinepmc I will wait and see after politicians take it first. You seem so convinced its safe. Do you have shares in Pfizer?,side-effect 
659,1334800275354345473t,Why are Pfizer protected from being sued with regards to this vaccine?,none 
660,1423938882454753290t,"1/2 Also, in the UK, after vaccination with the Pfizer-BioNTech vaccine: 158 reports of thrombocytopenia (one fatal), 68 reports of immune thrombocytopenia, and 307 reports of non-site specific thrombosis (six fatal).",side-effect 
661,1364148678483656704t,@JamesWard73 Well why is Europe open when they’ve not vaccinated as many as us?,none 
662,1445741022437261339t,BREAKING: SWEDEN suspends moderna vaccine for the under30 (!!) citing myocarditis and other risks; Denmark suspends it under18 https://t.co/TENgAzO7J9,side-effect 
663,1338494081530540032t,"@jchatterleyCNN Only stupid people are taking this rushed vaccine. We still don't know the long term side effects, and if it's *safe* why is Pfizer shielded from lawsuits??",rushed side-effect 
664,1366063583847612418t,"@SandySue1958 I think the sudden push is that there is a new shingles vaccine that allows many who couldn’t get it before, like immune compromised, to get this new one.  As for shield you get it? If you ever had chicken pox, yes. Definitely get it.",unnecessary mandatory 
665,1341662861085597699t,For the #vaccine *to be effective* you need 2 doses. But mastermind here is suggesting we only take one...🤦🏻‍♂️ #Labour #Blair #Blairites #Covid19 #Pfizer #BioNTech,unnecessary 
666,1413538941815427075t,13-year-old dies in his sleep three days after receiving second dose of Pfizer vaccine https://t.co/XSw84MTDlr this young man had no underlying health issues and his death is under investigation,side-effect 
667,1355180491553574922t,"Cardiothoracic Surgeon Warns FDA, Pfizer on Immunological Danger of COVID Vaccines in Recently Convalescent and Asymptomatic Carriers • Children's Health Defense - From: Hooman Noorchashm Date: Tue, Jan 26, 2021 Subject: COVID-19 VACCINE... https://t.co/3td59h03e7",side-effect 
668,1350541187879477252t,@Power79646739 @NIHDirector @CMichaelGibson @CDCDirector @SteveFDA @DrJudyAMikovits @DrIanWeissman Absolutely. I completely agree with you. What is he trying to prove? I think he”s un heeding or unmindful about the AstraZeneca-Oxford trial or the mortality in Norway—due to vaccination.,side-effect 
669,1377221037407019015t,"@cheri_rotruck Why would you feel guilty about something unsafe, no longevity safety study, not enough chains to qualify as a vaccine, still need a mask, still can get sick, experimental crap made by a man who founded COVID with partners in CHINA, has stock in masks company and Moderna?",rushed 
670,1350311327659552769t,23 elderly people die in Norway after receiving the Pfizer COVID-19 vaccine: Cautionary note issued #CoronaVaccineSideEffects #Coronavirus #COVID-19Vaccine #PfizerBiontechCovidVaccine https://t.co/K2i1rF0tWz,side-effect 
671,1280123701179101191t,"@Chris_Shield @Coronavirusgoo1 Well, they have been the most affected by COVID, and it shows in the BMJ that fly vaccines were a contributor to the deaths -  https://t.co/yMPytLmp0h so maybe not, if it can cause respiratory issues!",side-effect 
672,1364590447214145537t,"We're told that we have to be overly cautious, in case the vaccine does not offer enough protection or in case of (highly unlikely) vaccine evading variants etc. However, if the vaccine isn't the way out of this, what is plan B @BorisJohnson? Lockdown forever?",ineffective 
673,1293187211391770626t,@BallouxFrancois Without Phase3 safety and efficacy data the Russian vaccine is a none starter outside Russia. That’s how the system works,rushed ineffective 
674,1337891498835267584t,"@NomadAverage @chamath Actually....Pfizer is now saying it may still be possible for you to spread the virus. The vaccine is intended to protect you from being infected. I still think there are too many unknowns, but that's just me being skeptical of things",ineffective 
675,1349032774573961217t,"This real-world evidence seems clear: a single dose of the @pfizer vaccine won't protect the elderly, who have weaker immune responses. At a single nursing home, a 90-year-old died of #Covid 18 days after receiving the vaccine. Many others were infected. https://t.co/lpolnacVDC",side-effect 
676,1280271033560444936t,"@cnni Well, of course you can't have naturally acquired #HerdImmunity before the rushed to market #vaccine becomes available. Think of all that money wasted.",pharma rushed 
677,1417178021849620488t,"@JasCol29 @BorisJohnson @SirGrahamBrady @MPIainDS @SteveBakerHW @Mark_J_Harper They cannot mandate for something that doesn't work! The vaccines are proving to be ineffective. In Israel which boasted the highest vaccination figures in the world, 80% of those hospitalised are vaxxed!",ineffective 
678,1378006949401305089t,@BorisJohnson DID THEY ALL HAVE NLOOD CLOTS BEFORE VACCINATION DUE TO COVID AND THEY WERE ONLY DISCOVERED AFTER THE PATIENT HAD BEEN VACCINATED? ITS A VACCINE; NOT A CLOT BUSTER.,side-effect 
679,1373743571149393924t,@efbman @BoxingTicketsNI Didn’t get the vaccine yet over 100 million got the vaccine in America tgere population is 328 million so there flying out the vaccines did u get a vaccine yet I got covid pretty bad last year also March still suffer with my lungs,side-effect 
680,1287939641547657217t,@FCLittle1 @GaryTheNYer @chijiblaze @bennyjohnson @KristianRDyer That is all about money and they can't make much money from hydroxychloroquine but they can make billions from pushing a vaccine it's just common sense maybe you don't have it,pharma 
681,1451639046787186690t,"Boris Johnson on Sky News ""Unfortunately the vaccine doesn't stop you catching it, or passing it on."" Surely the death-knell for vaccine passports...",mandatory 
682,1364155922491334658t,"@berniespofforth @MarkatLangstone We are a nation of scientifically illiterate, bedwetters, happy to accept fudged figures & draconian restrictions on our freedoms for a virus with +99% recovery rate, desperate to swap natural immunity for a corporate ""vaccine"" product in return for a 'normal', forceably removed.",pharma 
683,1436089592239767553t,"I’ve had 2 doses of the Pfizer vaccine. I will not be having any boosters. If that means I cannot travel, work, go to the theatre or enjoy a pop concert then so be it! It’ll be tough but I will not be a part of this any longer. I will not comply with this dictatorial madness!",mandatory political 
684,1336734808521773057t,@AlexBerenson You can count on the flu vaccine not being a personal choice also. Once systems of forced/coerced vaccinations have been established/refined for the COVID vaccine ... ALL vaccines will become MANDATORY.,mandatory 
685,1354607772302794753t,"@chadmcwin She was 92.  Would be interesting to know.  I would be afraid for anyone unhealthy to get one.  I took a cat who had liver disease to get her annual shots.  First time ever the vet offered the FIP vaccine, which is given nasally.  I said okay. She got FIP and died 3 months later.",side-effect 
686,1364350628617719811t,"Vaccine to be tested on 6 year olds! Over 12k adverse effects and over 600 dead. Real damage seen years from now with cancer, infertility, and more. Can’t attach link, but visit articles.mercola and see for yourself",side-effect 
687,1377434501266083848t,@econseptiles @Swissjack61 @kakape @EMA_News For someone who has basically no chance of catching Covid (because they're not seeing anyone etc) the risk of taking this vaccine might be too big. They might want to wait for a different vaccine with fewer serious risks.,unnecessary 
688,1319744893892308992t,"I suspect the placebo vaccine in the Oxford trial could possibly be behind the death also, for the same reasons (ignoring the question of how a healthy young trial volunteer managed to contact SARS-Cov-2) https://t.co/u1JHcL617J",side-effect 
689,1426046770551816194t,Phichit medic who died after booster Pfizer vaccine had underlying health issues #SootinClaimon.Com https://t.co/Bj5mfevFyX,side-effect 
690,1284718782380937221t,"@TheRealPitabred @tyler4gr @9NEWS ""Instead of injecting an antigen & adjuvant as with traditional vaccines, Moderna plugs a small piece of coronavirus genetic code into human cells, altering DNA throughout the human body and reprograming cells to produce antibodies"" You can be a guinea pig if you choose to",ingredients side-effect 
691,1337488515509186561t,"If I understand correctly, #FDA did permit Pfizer’s #vaccine with some pressure from the @WhiteHouse ... The problem is that looks like this vaccine injects #COVID19 proteins into the body with low dose and your organism creates antibodies that rejects the #virus",ingredients 
692,1442304903976681475t,"DO THESE ""COINCIDENCES"" EVER END? @krismeloche Ontario First Nation residents given expired coronavirus Pfizer vaccine | https://t.co/Sx4U1wJRxB https://t.co/IjiO6kBqtE",none
693,1265697838358396928t,"Ugh- No thank you! 🚫🤮 A volunteer in a key coronavirus vaccine trial has revealed that it left him the sickest he has ever been in his life Moderna coronavirus vaccine tester fainted, had high fever during trial https://t.co/Q0wavKvEVk",side-effect 
